batch_id,recipient_id,status,sent_at,opened_at,replied_at,bounced_at
9,1,sent,2026-05-21T16:16:21.645565,,,
9,2,sent,2026-05-21T16:17:23.317794,,,
9,3,sent,2026-05-21T16:18:23.979585,,,
9,4,sent,2026-05-21T16:19:25.702905,,,
9,5,sent,2026-05-21T16:20:26.265525,,,
9,6,sent,2026-05-21T16:21:28.120880,,,
9,7,sent,2026-05-21T16:22:28.818687,,,
9,8,sent,2026-05-21T16:24:07.735051,,,
9,9,sent,2026-05-21T16:25:08.717611,,,
9,10,sent,2026-05-21T16:26:09.860976,,,
9,11,sent,2026-05-21T16:27:10.462521,,,
9,12,sent,2026-05-21T16:55:40.954450,,,
9,13,sent,2026-05-21T16:57:00.448467,,,
9,14,sent,2026-05-21T16:58:02.135005,,,
9,15,sent,2026-05-21T16:59:03.329525,,,
9,16,sent,2026-05-21T17:00:03.985391,,,
9,17,sent,2026-05-21T17:01:05.067666,,,
9,19,sent,2026-05-21T17:02:05.744574,,,
9,20,sent,2026-05-21T17:03:06.891149,,,
9,21,sent,2026-05-21T17:04:07.996998,,,
9,22,sent,2026-05-21T17:05:09.174842,,,
9,23,sent,2026-05-21T17:06:09.727611,,,
9,24,sent,2026-05-21T17:07:10.848689,,,
9,25,sent,2026-05-21T17:08:12.148617,,,
9,26,sent,2026-05-21T17:09:13.440301,,,
9,27,sent,2026-05-21T17:10:14.188797,,,
9,28,sent,2026-05-21T17:11:15.403168,,,
9,29,sent,2026-05-21T17:12:15.980081,,,
10,1,sent,2026-05-25T14:13:18.260906,,,
10,2,sent,2026-05-25T14:14:21.006774,,,
10,3,sent,2026-05-25T14:15:22.684494,,,
10,4,sent,2026-05-25T14:16:25.688590,,,
10,5,sent,2026-05-25T14:17:27.072699,,,
10,6,sent,2026-05-25T14:18:29.029087,,,
10,7,sent,2026-05-25T14:19:30.674475,,,
10,8,sent,2026-05-25T14:20:32.774243,,,
10,9,sent,2026-05-25T14:21:34.810910,,,
10,10,sent,2026-05-25T14:22:37.754655,,,
10,11,sent,2026-05-25T14:23:39.190074,,,
10,12,sent,2026-05-25T14:24:41.630904,,,
10,13,sent,2026-05-25T14:25:43.424718,,,
10,14,sent,2026-05-25T14:26:55.396425,,,
10,15,sent,2026-05-25T14:27:57.332745,,,
10,16,sent,2026-05-25T14:29:00.016355,,,
10,17,sent,2026-05-25T14:30:02.277375,,,
10,19,sent,2026-05-25T14:31:05.562194,,,
10,20,sent,2026-05-25T14:32:07.348011,,,
10,21,sent,2026-05-25T14:33:09.979224,,,
10,22,sent,2026-05-25T14:34:11.703784,,,
10,23,sent,2026-05-25T14:35:14.862389,,,
10,24,sent,2026-05-25T14:36:16.546042,,,
10,25,sent,2026-05-25T14:37:20.145468,,,
10,26,sent,2026-05-25T14:38:21.575091,,,
10,27,sent,2026-05-25T14:39:23.840775,,,
10,28,sent,2026-05-25T14:40:25.398788,,,
10,29,sent,2026-05-25T14:41:28.327789,,,
11,1,skipped,,,,
11,2,sent,2026-05-28T12:43:26.354835,,,
11,3,sent,2026-05-28T12:44:30.885398,,,
11,4,skipped,,,,
11,5,sent,2026-05-28T12:46:35.379478,,,
11,6,sent,2026-05-28T12:47:37.699300,,,
11,7,sent,2026-05-28T12:48:40.981913,,,
11,8,skipped,,,,
11,9,sent,2026-05-28T12:50:44.688879,,,
11,10,sent,2026-05-28T12:51:46.113181,,,
11,11,sent,2026-05-28T12:52:49.709570,,,
11,12,sent,2026-05-28T12:53:51.240982,,,
11,13,sent,2026-05-28T12:54:54.420456,,,
11,14,sent,2026-05-28T12:55:55.827305,,,
11,15,sent,2026-05-28T12:56:58.742251,,,
11,16,sent,2026-05-28T13:03:15.502978,,,
11,17,skipped,,,,
11,19,skipped,,,,
11,20,skipped,,,,
11,21,skipped,,,,
11,22,sent,2026-05-28T13:08:25.368433,,,
11,23,skipped,,,,
11,24,skipped,,,,
11,25,sent,2026-05-28T13:11:28.898903,,,
11,26,sent,2026-05-28T13:12:31.762978,,,
11,27,sent,2026-05-28T13:13:32.465131,,,
11,28,sent,2026-05-28T13:14:35.976180,,,
11,29,sent,2026-05-28T13:15:36.774604,,,
12,1,pending,,,,
12,2,pending,,,,
12,3,pending,,,,
12,4,pending,,,,
12,5,pending,,,,
12,6,pending,,,,
12,7,pending,,,,
12,8,pending,,,,
12,9,pending,,,,
12,10,pending,,,,
12,11,pending,,,,
12,12,pending,,,,
12,13,pending,,,,
12,14,pending,,,,
12,15,pending,,,,
12,16,pending,,,,
12,17,pending,,,,
12,19,pending,,,,
12,20,pending,,,,
12,21,pending,,,,
12,22,pending,,,,
12,23,pending,,,,
12,24,pending,,,,
12,25,pending,,,,
12,26,pending,,,,
12,27,pending,,,,
12,28,pending,,,,
12,29,pending,,,,
16,204,sent,2026-05-21T16:20:26.265525,,,
16,205,sent,2026-05-21T16:22:28.818687,,,
16,206,sent,2026-05-21T16:25:08.717611,,,
16,207,sent,2026-05-21T16:27:10.462521,,,
16,208,sent,2026-05-21T16:55:40.954450,,,
