id,name,sequence_id,status,scheduled_at,timezone,send_rate,stagger_minutes,day_offset,created_at,started_at,completed_at,parent_batch_id,campaign_id
9,a-D3,school,completed,2026-05-21T10:00:00,Asia/Kolkata,0,1,3,2026-05-19 14:55:56,2026-05-21 10:45:58,2026-05-21 11:42:45,8,
10,a-D5,school,completed,2026-05-23T10:00:00,Asia/Kolkata,0,1,5,2026-05-19 14:55:56,2026-05-25 08:42:56,2026-05-25 09:12:29,8,
11,a-D7,school,draft,2026-05-25T10:00:00,Asia/Kolkata,0,1,7,2026-05-19 14:55:56,2026-05-28 07:11:44,2026-05-28 07:46:40,8,
12,a-D10,school,draft,2026-05-27T10:00:00,Asia/Kolkata,0,1,10,2026-05-19 14:55:56,,,8,
16,Pune_Email_ B1-B1,school,completed,2026-05-21T16:14:25.350081,Asia/Kolkata,0,2,1,2026-05-21 10:44:25,2026-05-21 10:47:48,2026-05-21 13:16:41,,
17,Pune_Email_ B1-B2,school,completed,2026-05-23T10:00:00,Asia/Kolkata,0,2,1,2026-05-21 10:44:25,2026-05-21 10:47:51,2026-05-21 10:51:28,17,
19,a-D5,school,completed,2026-05-23T10:00:00,Asia/Kolkata,0,1,5,2026-05-21 11:42:45,2026-05-25 08:42:41,2026-05-25 09:12:30,8,
20,Pune_Email_ B1-B2-D3,school,completed,2026-05-23T10:00:00,Asia/Kolkata,0,2,3,2026-05-21 11:45:03,2026-05-25 08:42:31,2026-05-25 08:46:27,17,
21,Pune_Email_ B1-B2-D5,school,completed,2026-05-25T10:00:00,Asia/Kolkata,0,2,5,2026-05-21 11:45:03,2026-05-28 07:12:30,2026-05-28 07:16:36,17,
22,Pune_Email_ B1-B2-D7,school,completed,2026-05-27T10:00:00,Asia/Kolkata,0,2,7,2026-05-21 11:45:03,2026-05-28 17:56:49,2026-05-28 18:01:18,17,
23,Pune_Email_ B1-B2-D10,school,draft,2026-05-29T10:00:00,Asia/Kolkata,0,2,10,2026-05-21 11:45:03,,,17,
24,Pune_Email_ B1-B1-D3,school,completed,2026-05-23T10:00:00,Asia/Kolkata,0,2,3,2026-05-21 13:16:41,2026-05-25 08:42:27,2026-05-25 10:27:01,16,
25,Pune_Email_ B1-B2-D5,school,draft,2026-05-27T10:00:00,Asia/Kolkata,0,2,5,2026-05-25 08:46:27,,,17,
27,a-D7,school,draft,2026-05-27T10:00:00,Asia/Kolkata,0,1,7,2026-05-25 09:12:30,,,8,
